sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceSource	referenceDoi	referenceCitation
EOL:11623078	Israeli acute paralysis virus	RO:0002444	parasite of	EOL:104136	Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8613096	Kashmir bee virus	RO:0002444	parasite of	EOL:104136	Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:104136	Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:1177347	Bombus terrestris						K. Goka, K. Okabe, M. Yoneda, S. Niwa Bumblebee commercialization will cause worldwide migration of parasitic mites Mol. Ecol., 10 (2001), pp. 2095-2099	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:11926867	Nosema bombi	RO:0002444	parasite of	EOL:104136	Bombus						B. Sachman-Ruiz, V. Narváez-Padilla, E. Reynaud Commercial Bombus impatiens as reservoirs of emerging infectious diseases in central México Biol. Invasions, 17 (2015), pp. 2043-2053, 10.1007/s10530-015-0859-6	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:11926867	Nosema bombi	RO:0002444	parasite of	EOL:1065134	Bombus occidentalis	GEONAMES:5332921	California			1997	W.F. Wehling, R.V. Flanders The Risks of International Trade in Bees: Laws and Regulations on the Import, Movement and Release of Bees in the United States (2005) BRAVE 301	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:2510769	Spain			2000	C. Botías, R. Martín-Hernández, E. Garrido-Bailón, A. González-Porto, A. Martínez-Salvador, P. De la Rúa, A. Meana, M. Higes The growing prevalence of Nosema ceranae in honey bees in Spain, an emerging problem for the last decade Res. Vet. Sci., 93 (2012), pp. 150-155, 10.1016/j.rvsc.2011.08.002	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:3439705	Uruguay			1990	C. Invernizzi, C. Abud, I.H. Tomasco, J. Harriet, G. Ramallo, J. Campá, H. Katz, G. Gardiol, Y. Mendoza Presence of Nosema ceranae in honeybees (Apis mellifera) in Uruguay J. Invertebr. Pathol., 101 (2009), pp. 150-153, 10.1016/j.jip.2009.03.006	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:1045608	Apis mellifera						I. Fries Protozoa R.A. Morse, K. Flottum (Eds.), Honey Bee Pests, Predators and Diseases, A.I. Root Company, Medina, Ohio, USA (1997), pp. 59-76	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:2510769	Spain				M. Higes, R. Martín, A. Meana, R. Martin Nosema ceranae, a new microsporidian parasite in honeybees in Europe J. Invertebr. Pathol., 92 (2006), pp. 93-95, 10.1016/j.jip.2006.02.005	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:1668284	Taiwan				W.F. Huang, J.H. Jiang, Y.W. Chen, C.-H. Wang A Nosema ceranae isolate from the honeybee Apis mellifera Apidologie, 38 (2007), pp. 30-37, 10.1051/apido	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:7729890	North America			1995	Y. Chen, J.D. Evans, I.B. Smith, J.S. Pettis Nosema ceranae is a long-present and wide-spread microsporidian infecton of the European honey bee (Apis mellifera) in the United States J. Invertebr. Pathol., 97 (2008), pp. 186-188, 10.1016/j.jip.2007.07.010	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203540	Varroa jacobsoni	RO:0002444	parasite of	EOL:2754886	Apis cerana		Eastern Asia				B.P. Oldroyd Coevolution while you wait: Varroa jacobsoni, a new parasite of western honeybees Trends Ecol. Evol., 14 (1999), pp. 312-315, 10.1016/S0169-5347(99)01613-4	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203540	Varroa jacobsoni	RO:0002444	parasite of	EOL:2754886	Apis cerana		Eastern Asia				A.C. Oudemans On a new genus and species of parasitic acari Notes Leyden Mus., 24 (1904), pp. 216-222, 10.1017/S0031182000012919	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
